algorithm,run_id,step,dataset_name,mean_action_dist,lambda
none,94je0se0,27,antmaze-large-diverse-v2,0.6253312230110168,1.0
none,94je0se0,28,antmaze-large-diverse-v2,0.5802728533744812,1.0
none,94je0se0,29,antmaze-large-diverse-v2,0.5954552888870239,1.0
none,94je0se0,30,antmaze-large-diverse-v2,0.6362634301185608,1.0
none,94je0se0,31,antmaze-large-diverse-v2,0.5951694846153259,1.0
none,94je0se0,32,antmaze-large-diverse-v2,0.6026796102523804,1.0
none,94je0se0,33,antmaze-large-diverse-v2,0.5850168466567993,1.0
none,94je0se0,34,antmaze-large-diverse-v2,0.6181424260139465,1.0
none,94je0se0,35,antmaze-large-diverse-v2,0.6137682199478149,1.0
none,94je0se0,36,antmaze-large-diverse-v2,0.6676275730133057,1.0
none,94je0se0,37,antmaze-large-diverse-v2,0.5688912868499756,1.0
none,94je0se0,38,antmaze-large-diverse-v2,0.5651101469993591,1.0
none,94je0se0,39,antmaze-large-diverse-v2,0.600003182888031,1.0
none,94je0se0,40,antmaze-large-diverse-v2,0.6468604803085327,1.0
none,94je0se0,41,antmaze-large-diverse-v2,0.6882743239402771,1.0
none,94je0se0,42,antmaze-large-diverse-v2,0.5871224999427795,1.0
none,94je0se0,43,antmaze-large-diverse-v2,0.6717618703842163,1.0
none,94je0se0,44,antmaze-large-diverse-v2,0.5884734392166138,1.0
none,94je0se0,45,antmaze-large-diverse-v2,0.616613507270813,1.0
none,94je0se0,46,antmaze-large-diverse-v2,0.5909224152565002,1.0
none,94je0se0,47,antmaze-large-diverse-v2,0.5655156373977661,1.0
none,94je0se0,48,antmaze-large-diverse-v2,0.6036599278450012,1.0
none,94je0se0,49,antmaze-large-diverse-v2,0.6744898557662964,1.0
pbrl,jxgvt0vv,0,antmaze-large-diverse-v2,1.1114848852157593,0.01
pbrl,jxgvt0vv,1,antmaze-large-diverse-v2,0.9915826916694641,0.01
pbrl,jxgvt0vv,2,antmaze-large-diverse-v2,0.9855672121047974,0.01
pbrl,jxgvt0vv,3,antmaze-large-diverse-v2,0.9677720069885254,0.01
pbrl,jxgvt0vv,4,antmaze-large-diverse-v2,0.8747193217277527,0.01
pbrl,jxgvt0vv,5,antmaze-large-diverse-v2,0.8077621459960938,0.01
pbrl,jxgvt0vv,6,antmaze-large-diverse-v2,0.7799831628799438,0.01
pbrl,jxgvt0vv,7,antmaze-large-diverse-v2,0.7107914090156555,0.01
pbrl,jxgvt0vv,8,antmaze-large-diverse-v2,0.6699478626251221,0.01
pbrl,jxgvt0vv,9,antmaze-large-diverse-v2,0.7662357687950134,0.01
pbrl,jxgvt0vv,10,antmaze-large-diverse-v2,0.835117757320404,0.01
pbrl,jxgvt0vv,11,antmaze-large-diverse-v2,0.8302617073059082,0.01
pbrl,jxgvt0vv,12,antmaze-large-diverse-v2,0.9228193163871765,0.01
pbrl,jxgvt0vv,13,antmaze-large-diverse-v2,0.9663156270980835,0.01
pbrl,jxgvt0vv,14,antmaze-large-diverse-v2,0.9949731826782227,0.01
pbrl,jxgvt0vv,15,antmaze-large-diverse-v2,0.9373491406440735,0.01
