run_id,run_name,lr,log,seed,gamma,prior,beta_id,dataset,actor_lr,algorithm,batch_size,checkpoint,wandb_team,critic_norm,num_critics,num_updates,pi_operator,wandb_group,action_scale,critic_depth,dataset_name,eval_workers,log_q_values,num_eval_eps,eval_interval,pretrain_loss,wandb_project,checkpoint_dir,dataset_source,reg_lagrangian,shared_targets,awr_temperature,awr_weight_clip,no_entropy_bonus,polyak_step_size,pretrain_updates,actor_lcb_penalty,critic_lagrangian,critic_regularizer,eval_final_episodes,pretrain_lagrangian,ensemble_regularizer,randomized_prior_depth,randomized_prior_scale,critic_regularizer_parameter,step,min_q_bias,q_pred_mean
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,11,-83.24004209679805,184.69003295898438
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,12,-88.73016116223286,187.55746459960938
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,13,-100.05002728720387,180.7653045654297
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,14,-101.67215214490359,181.81182861328125
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,15,-95.49204127511251,179.5353240966797
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,16,-89.06707531301387,182.0230712890625
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,17,-85.44881289414313,184.83251953125
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,18,-100.92409724103791,183.7368927001953
y0adlvqk,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-12-57,0.0003,1,0,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,19,-93.23657475938579,182.1053466796875
y52zwm0t,bias_experiments/unified_awac_walker2d-medium-replay-v2_2026-02-24_21-15-17,0.0003,1,4,0.99,False,0.01,walker2d-medium-replay-v2,0.0003,bias_experiments/unified_awac,256,1,,none,2,200000,awr,debug,1,3,walker2d-medium-replay-v2,8,1,0,10000,bc+sarsa,,./checkpoints/awac,d4rl,1,1,1,100,1,0.005,0,4,1,none,0,1,none,3,1,1,0,-21.499276698496704,92.09048461914062
